Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Non-Travel,842,Hardware,27,2,Technical Degree,1,17,3,Female,102,3,1,Laboratory Technician,1,Single,10539,73773,0,Y,No,20,4,3,80,1,6,3,1,5,4,3,3
34,No,Travel_Rarely,189,Research & Development,48,5,Marketing,1,18,2,Male,178,4,2,Sales Executive,4,Single,43094,646410,3,Y,Yes,34,3,4,80,1,4,6,2,1,1,1,1
23,No,Travel_Frequently,908,Research & Development,35,3,Marketing,1,19,4,Male,184,4,5,Sales Executive,1,Married,1420,19880,1,Y,No,22,1,4,80,3,17,2,2,10,9,10,3
19,No,Non-Travel,877,Support,1,4,Medical,1,20,4,Female,44,1,4,Developer,4,Single,1567,37608,4,Y,No,33,3,1,80,2,1,3,1,1,1,1,1
33,Yes,Non-Travel,141,Sales,41,5,Marketing,1,21,1,Male,122,1,4,Developer,3,Married,8318,249540,5,Y,No,23,2,1,80,4,35,4,2,26,9,1,5
32,Yes,Travel_Frequently,854,Sales,33,2,Technical Degree,1,22,1,Male,169,1,4,Human Resources,3,Divorced,33386,66772,5,Y,No,14,4,1,80,4,21,3,2,8,7,5,1
44,Yes,Travel_Frequently,303,Human Resources,23,3,Human Resources,1,23,4,Female,195,4,3,Healthcare Representative,1,Single,2127,53175,6,Y,Yes,9,4,2,80,2,24,6,3,1,1,1,1
28,Yes,Travel_Rarely,274,Research & Development,40,4,Life Sciences,1,24,3,Male,140,3,4,Sales Representative,3,Divorced,38437,999362,1,Y,Yes,3,1,2,80,1,16,4,1,3,2,3,2
23,No,Travel_Frequently,999,Software,20,4,Other,1,25,4,Male,114,3,5,Sales Representative,4,Single,13239,357453,0,Y,No,46,2,4,80,4,34,1,4,31,10,28,13
26,No,Travel_Frequently,1232,Support,21,3,Marketing,1,26,3,Male,90,1,3,Developer,4,Single,9668,29004,4,Y,Yes,28,2,3,80,3,35,5,2,5,5,5,4
58,No,Travel_Rarely,1401,Support,41,1,Other,1,27,2,Female,86,4,5,Laboratory Technician,3,Divorced,3395,44135,5,Y,Yes,2,3,1,80,4,7,2,2,1,1,1,1
27,Yes,Travel_Frequently,446,Support,32,3,Medical,1,28,3,Male,102,4,3,Healthcare Representative,4,Married,31004,341044,3,Y,Yes,48,1,1,80,1,15,6,1,14,9,2,5
29,Yes,Travel_Frequently,733,Software,19,3,Other,1,29,3,Female,50,4,2,Research Scientist,2,Married,42424,806056,2,Y,No,13,2,2,80,4,19,4,1,10,8,3,9
38,No,Travel_Frequently,337,Support,40,5,Life Sciences,1,30,3,Female,137,3,1,Human Resources,3,Married,15321,199173,0,Y,Yes,29,2,3,80,1,4,6,3,2,1,2,1
55,Yes,Non-Travel,796,Research & Development,17,1,Medical,1,31,1,Male,186,4,4,Sales Executive,4,Married,13289,398670,1,Y,Yes,41,4,3,80,4,3,4,2,3,1,3,2
25,No,Travel_Rarely,970,Human Resources,37,2,Technical Degree,1,32,3,Male,87,4,5,Manufacturing Director,1,Single,24626,320138,6,Y,Yes,29,3,1,80,3,15,1,3,6,1,1,5
44,No,Travel_Rarely,158,Hardware,19,5,Marketing,1,33,2,Male,52,3,1,Sales Executive,4,Divorced,31405,628100,6,Y,No,40,1,4,80,3,30,5,3,25,6,13,1
57,No,Travel_Rarely,162,Sales,23,5,Life Sciences,1,34,2,Male,76,2,5,Manager,3,Married,27173,760844,6,Y,No,26,3,2,80,3,1,3,4,1,1,1,1
21,Yes,Travel_Frequently,805,Support,12,1,Life Sciences,1,35,2,Male,47,2,5,Sales Executive,2,Divorced,26642,799260,3,Y,Yes,46,3,4,80,2,32,6,1,25,25,8,21
22,Yes,Travel_Frequently,1326,Research & Development,30,3,Marketing,1,36,2,Female,192,4,1,Sales Executive,2,Single,8656,190432,6,Y,No,22,2,4,80,1,29,5,3,2,1,2,1
29,No,Travel_Rarely,766,Software,18,3,Life Sciences,1,37,3,Female,87,4,2,Sales Representative,3,Divorced,48967,979340,3,Y,Yes,36,3,2,80,2,37,3,3,34,12,12,9
40,No,Travel_Rarely,1018,Support,15,3,Marketing,1,38,4,Male,33,3,3,Sales Representative,3,Single,17218,361578,5,Y,No,39,2,4,80,3,10,2,4,4,3,3,4
22,No,Non-Travel,1212,Software,26,5,Marketing,1,39,1,Female,122,1,2,Manager,2,Married,21150,634500,2,Y,Yes,47,2,3,80,4,39,2,4,31,4,18,4
29,No,Non-Travel,1312,Support,40,4,Other,1,40,1,Male,64,1,1,Developer,2,Divorced,34410,68820,7,Y,Yes,20,1,1,80,2,19,6,3,2,1,2,2
29,No,Travel_Rarely,846,Research & Development,36,5,Technical Degree,1,41,2,Male,37,4,5,Research Director,3,Married,24487,342818,6,Y,No,18,3,2,80,4,27,2,1,19,16,16,7
23,Yes,Travel_Rarely,1420,Support,31,3,Life Sciences,1,42,3,Female,127,3,5,Research Director,1,Single,26835,563535,6,Y,Yes,7,4,3,80,4,39,1,2,21,13,10,14
38,No,Travel_Frequently,1173,Human Resources,6,1,Technical Degree,1,43,4,Female,60,4,3,Laboratory Technician,4,Married,15961,478830,7,Y,Yes,32,3,3,80,3,37,6,4,35,24,5,2
43,Yes,Travel_Frequently,410,Support,45,1,Other,1,44,2,Female,94,3,5,Laboratory Technician,1,Divorced,45633,1003926,3,Y,Yes,4,2,3,80,4,26,4,2,14,7,8,4
31,Yes,Non-Travel,371,Hardware,32,2,Technical Degree,1,45,2,Female,154,2,4,Healthcare Representative,3,Single,37786,37786,6,Y,Yes,39,3,3,80,4,12,2,4,1,1,1,1
24,No,Travel_Frequently,1134,Software,40,3,Life Sciences,1,46,2,Male,144,2,5,Manager,2,Single,3506,49084,8,Y,No,13,2,4,80,1,13,6,3,12,12,12,5
25,Yes,Travel_Frequently,1470,Support,23,3,Marketing,1,47,1,Female,125,4,1,Developer,4,Married,42775,427750,8,Y,Yes,8,4,3,80,3,26,2,3,24,15,22,7
50,Yes,Travel_Frequently,304,Hardware,30,1,Human Resources,1,48,2,Female,91,2,4,Human Resources,4,Single,21473,622717,0,Y,No,23,4,2,80,3,18,5,3,15,2,1,4
57,No,Non-Travel,622,Human Resources,36,5,Human Resources,1,49,3,Female,195,3,5,Healthcare Representative,4,Divorced,21464,21464,2,Y,Yes,27,3,4,80,2,12,2,1,7,3,5,1
41,No,Travel_Rarely,362,Support,2,4,Human Resources,1,50,3,Male,118,1,1,Healthcare Representative,3,Married,50036,550396,0,Y,No,22,3,3,80,1,32,5,4,18,4,1,8
31,No,Travel_Frequently,112,Software,5,1,Technical Degree,1,51,1,Female,97,2,2,Manufacturing Director,2,Single,29432,412048,2,Y,Yes,15,1,4,80,1,38,5,2,32,22,12,1
22,Yes,Travel_Frequently,742,Support,8,5,Medical,1,52,1,Male,47,1,2,Sales Representative,3,Married,31947,479205,7,Y,No,36,2,2,80,2,37,3,4,13,4,8,13
41,Yes,Travel_Frequently,1366,Hardware,43,1,Medical,1,53,1,Male,131,3,5,Sales Executive,1,Single,25751,154506,2,Y,No,38,4,1,80,2,10,4,4,1,1,1,1
18,No,Non-Travel,690,Human Resources,19,3,Other,1,54,3,Female,86,2,2,Research Director,1,Single,36270,616590,1,Y,Yes,30,1,3,80,2,3,1,2,3,3,1,1
60,No,Travel_Rarely,895,Hardware,41,1,Medical,1,55,1,Female,85,3,5,Healthcare Representative,1,Married,46010,552120,3,Y,No,20,1,1,80,3,37,4,4,21,8,20,13
26,No,Non-Travel,1353,Hardware,2,3,Life Sciences,1,56,4,Female,94,4,2,Developer,3,Divorced,5910,88650,1,Y,Yes,17,4,3,80,1,34,2,4,21,17,13,13
31,No,Travel_Frequently,1182,Support,15,5,Human Resources,1,57,3,Male,55,4,2,Developer,4,Married,45846,641844,7,Y,Yes,21,1,1,80,3,29,6,4,2,1,1,1
43,No,Non-Travel,771,Human Resources,3,5,Marketing,1,58,4,Female,68,3,2,Healthcare Representative,3,Single,23314,582850,4,Y,Yes,22,2,2,80,4,36,1,4,5,1,1,1
42,Yes,Travel_Frequently,1294,Software,39,2,Marketing,1,59,4,Female,200,4,2,Sales Representative,1,Married,13417,26834,0,Y,No,1,4,4,80,3,21,5,3,18,8,5,9
26,Yes,Travel_Frequently,1012,Hardware,45,5,Other,1,60,3,Male,156,2,1,Manufacturing Director,4,Married,11522,299572,7,Y,No,24,2,3,80,3,33,2,4,4,2,2,2
48,Yes,Non-Travel,946,Hardware,2,3,Human Resources,1,61,2,Male,117,4,1,Manufacturing Director,1,Divorced,11764,270572,8,Y,Yes,45,1,4,80,4,26,3,1,8,7,5,1
27,Yes,Travel_Frequently,768,Hardware,49,4,Other,1,62,3,Female,86,1,3,Sales Representative,3,Single,50252,502520,4,Y,No,3,2,2,80,2,12,6,3,9,2,1,2
58,No,Travel_Rarely,324,Human Resources,50,5,Technical Degree,1,63,4,Male,86,2,1,Research Scientist,2,Married,24485,48970,5,Y,No,17,3,4,80,2,26,1,2,9,1,3,4
59,Yes,Travel_Frequently,357,Human Resources,36,3,Life Sciences,1,64,3,Female,163,2,1,Research Director,2,Married,49219,689066,1,Y,Yes,32,4,2,80,2,23,1,2,7,1,6,1
44,Yes,Non-Travel,654,Human Resources,21,3,Marketing,1,65,3,Male,175,1,4,Sales Representative,1,Divorced,40676,854196,7,Y,Yes,38,3,3,80,1,35,6,2,34,32,7,22
57,Yes,Travel_Rarely,148,Research & Development,30,4,Other,1,66,4,Male,51,3,4,Healthcare Representative,2,Single,33364,467096,4,Y,Yes,29,2,4,80,3,9,3,1,5,4,4,4
36,Yes,Travel_Rarely,1144,Hardware,9,4,Medical,1,67,3,Female,47,2,5,Sales Executive,2,Married,27561,606342,7,Y,Yes,20,4,4,80,4,4,2,2,1,1,1,1
60,No,Non-Travel,455,Sales,12,2,Technical Degree,1,68,4,Male,132,3,5,Manufacturing Director,2,Divorced,7182,208278,4,Y,No,19,4,2,80,1,28,1,3,17,12,3,16
47,No,Travel_Rarely,798,Human Resources,49,3,Medical,1,69,2,Male,166,2,3,Sales Executive,2,Divorced,1757,45682,6,Y,Yes,40,1,2,80,1,38,4,4,38,10,5,18
53,No,Travel_Frequently,1419,Research & Development,45,1,Other,1,70,4,Female,43,4,2,Research Director,4,Divorced,27848,306328,7,Y,No,8,1,4,80,3,6,3,1,2,1,1,2
38,Yes,Travel_Rarely,1403,Human Resources,28,1,Medical,1,71,4,Female,151,2,2,Developer,4,Single,22607,158249,5,Y,Yes,46,1,4,80,4,8,2,3,7,4,2,7
52,Yes,Travel_Rarely,415,Hardware,30,5,Medical,1,72,3,Male,123,1,4,Healthcare Representative,4,Married,29305,586100,0,Y,No,29,3,4,80,2,16,5,4,1,1,1,1
54,No,Travel_Frequently,1301,Human Resources,31,4,Technical Degree,1,73,2,Male,176,4,5,Sales Executive,2,Divorced,43527,1262283,2,Y,Yes,19,4,2,80,1,6,4,4,3,1,1,1
55,No,Travel_Rarely,219,Research & Development,37,3,Technical Degree,1,74,4,Male,112,2,2,Human Resources,4,Married,2035,22385,0,Y,No,12,4,4,80,1,3,4,4,2,1,1,1
57,Yes,Non-Travel,750,Human Resources,15,1,Other,1,75,1,Male,70,4,4,Laboratory Technician,1,Married,19788,79152,4,Y,No,4,3,3,80,1,15,3,1,8,2,7,1
46,No,Travel_Frequently,956,Software,15,1,Marketing,1,76,2,Female,64,1,2,Laboratory Technician,3,Married,45663,958923,5,Y,No,36,3,2,80,1,23,6,4,1,1,1,1
20,No,Travel_Rarely,789,Software,43,2,Technical Degree,1,77,4,Male,41,3,2,Healthcare Representative,4,Single,33694,707574,3,Y,Yes,48,4,2,80,2,31,1,1,13,3,1,11
32,Yes,Travel_Rarely,965,Software,19,2,Life Sciences,1,78,1,Female,127,4,3,Human Resources,1,Divorced,24112,626912,0,Y,No,2,1,3,80,2,32,5,1,1,1,1,1
38,Yes,Travel_Rarely,285,Research & Development,40,1,Life Sciences,1,79,2,Male,156,2,4,Human Resources,2,Single,10568,42272,7,Y,Yes,42,1,3,80,2,40,4,4,37,7,12,16
28,Yes,Travel_Frequently,1321,Research & Development,16,1,Life Sciences,1,80,4,Female,133,1,2,Manufacturing Director,3,Married,15481,216734,2,Y,No,23,4,3,80,3,13,3,3,13,13,4,13
36,No,Travel_Frequently,421,Research & Development,27,5,Other,1,81,4,Female,193,3,1,Research Scientist,1,Single,11503,115030,2,Y,No,41,1,4,80,1,31,4,3,26,22,19,6
18,No,Travel_Frequently,631,Hardware,12,2,Human Resources,1,82,3,Male,180,3,4,Healthcare Representative,4,Married,11336,68016,0,Y,Yes,14,3,3,80,1,15,2,4,3,3,3,3
30,Yes,Non-Travel,962,Support,29,4,Life Sciences,1,83,4,Male,167,3,2,Sales Representative,1,Single,1304,2608,6,Y,Yes,12,1,4,80,4,30,5,3,8,8,3,1
59,Yes,Non-Travel,744,Sales,33,1,Medical,1,84,4,Female,159,3,2,Research Director,3,Divorced,32603,228221,2,Y,Yes,31,3,3,80,3,17,6,3,16,11,2,6
37,No,Travel_Rarely,1071,Software,32,2,Medical,1,85,3,Male,146,2,4,Sales Executive,3,Divorced,2571,5142,1,Y,Yes,13,1,2,80,4,17,4,3,1,1,1,1
27,No,Travel_Frequently,901,Research & Development,1,1,Medical,1,86,2,Female,177,4,4,Research Director,3,Married,41755,167020,5,Y,Yes,7,1,2,80,4,33,3,2,21,2,11,17
58,Yes,Travel_Rarely,937,Sales,9,5,Other,1,87,3,Female,86,3,3,Research Director,1,Married,9339,9339,1,Y,No,5,4,1,80,1,36,3,2,23,22,20,20
24,Yes,Travel_Rarely,265,Software,43,4,Marketing,1,88,4,Female,87,4,4,Research Director,2,Divorced,43463,260778,3,Y,Yes,6,2,1,80,3,11,1,4,6,2,1,5
46,No,Travel_Rarely,847,Human Resources,19,5,Technical Degree,1,89,4,Female,108,3,1,Research Scientist,3,Single,46239,323673,2,Y,No,37,3,4,80,2,17,4,1,17,12,5,1
41,Yes,Non-Travel,1052,Hardware,47,3,Medical,1,90,3,Female,156,1,3,Laboratory Technician,2,Married,28428,312708,3,Y,No,25,1,2,80,1,9,4,4,5,5,5,2
41,No,Non-Travel,282,Software,21,3,Marketing,1,91,3,Female,132,2,5,Laboratory Technician,1,Divorced,21596,21596,5,Y,Yes,1,2,1,80,4,1,2,2,1,1,1,1
50,No,Travel_Frequently,696,Human Resources,50,5,Other,1,92,3,Male,148,1,5,Human Resources,4,Married,27549,413235,1,Y,Yes,27,1,3,80,2,36,5,4,11,9,6,4
29,Yes,Non-Travel,1381,Human Resources,31,1,Other,1,93,4,Male,74,1,4,Manager,1,Married,35413,956151,8,Y,Yes,26,1,4,80,1,10,1,2,2,1,1,2
34,No,Non-Travel,995,Support,17,2,Marketing,1,94,2,Male,133,1,4,Manager,2,Divorced,6142,36852,1,Y,No,25,4,2,80,4,32,2,3,19,11,9,7
31,Yes,Travel_Frequently,430,Hardware,44,3,Medical,1,95,2,Male,123,4,3,Manager,1,Single,15673,282114,0,Y,No,21,4,3,80,3,35,6,3,9,3,7,1
27,No,Travel_Frequently,936,Sales,44,2,Medical,1,96,3,Female,43,2,3,Sales Executive,2,Divorced,40376,888272,0,Y,Yes,26,4,4,80,3,17,3,2,17,3,10,1
30,Yes,Travel_Rarely,445,Support,22,3,Human Resources,1,97,2,Female,149,4,5,Sales Representative,1,Divorced,18904,472600,8,Y,No,21,1,2,80,2,24,3,2,17,10,15,4
59,No,Travel_Rarely,471,Support,19,4,Technical Degree,1,98,1,Female,167,3,2,Research Director,3,Single,30632,704536,1,Y,Yes,9,4,4,80,4,21,3,3,17,6,4,1
18,No,Travel_Rarely,1180,Sales,34,5,Other,1,99,3,Male,84,1,3,Developer,1,Divorced,43434,1085850,4,Y,No,5,4,1,80,1,25,1,2,7,3,4,1
39,Yes,Travel_Rarely,837,Human Resources,22,3,Other,1,100,1,Male,52,1,5,Research Director,3,Married,18953,379060,1,Y,Yes,39,2,3,80,2,26,6,3,8,5,6,2
56,Yes,Travel_Frequently,340,Human Resources,48,4,Marketing,1,101,2,Female,66,1,3,Sales Representative,1,Single,16278,293004,5,Y,Yes,44,3,1,80,3,12,2,4,5,5,2,1
46,Yes,Travel_Rarely,1386,Software,11,5,Technical Degree,1,102,3,Male,119,1,5,Research Scientist,1,Single,40296,201480,6,Y,No,23,2,4,80,4,29,6,4,18,9,4,17
20,Yes,Travel_Frequently,849,Support,17,2,Other,1,103,1,Male,43,3,3,Developer,2,Married,27104,433664,8,Y,Yes,41,2,3,80,2,12,1,2,12,1,1,9
38,Yes,Travel_Rarely,219,Support,20,2,Life Sciences,1,104,3,Male,135,2,1,Manufacturing Director,3,Married,49751,1492530,3,Y,No,8,2,4,80,3,35,1,3,33,4,14,20
55,No,Travel_Frequently,1216,Support,28,4,Marketing,1,105,1,Female,116,2,5,Manager,4,Divorced,45195,1039485,1,Y,Yes,13,4,3,80,4,10,1,4,5,4,2,3
35,Yes,Travel_Frequently,702,Sales,9,3,Technical Degree,1,106,1,Female,141,4,4,Developer,1,Single,30422,121688,4,Y,No,25,3,4,80,4,11,1,4,10,3,2,1
47,No,Travel_Rarely,978,Human Resources,7,3,Medical,1,107,1,Female,36,4,1,Sales Executive,1,Single,17866,446650,4,Y,No,11,4,2,80,1,14,4,3,3,1,3,2
45,Yes,Travel_Rarely,1037,Support,9,5,Human Resources,1,108,1,Male,98,4,3,Research Scientist,4,Married,49173,1032633,8,Y,Yes,49,2,2,80,4,40,1,1,28,1,16,25
37,Yes,Non-Travel,354,Support,6,3,Medical,1,109,2,Male,63,4,2,Developer,2,Single,11256,236376,3,Y,No,20,2,4,80,2,30,5,1,5,4,1,2
36,Yes,Non-Travel,482,Software,21,5,Human Resources,1,110,3,Female,184,2,2,Sales Executive,1,Married,39896,917608,6,Y,Yes,1,4,3,80,2,23,6,4,3,1,3,1
27,Yes,Travel_Rarely,184,Hardware,30,3,Medical,1,111,1,Female,160,2,3,Research Director,2,Divorced,16948,440648,1,Y,Yes,2,1,4,80,1,27,1,2,15,10,15,8
52,No,Travel_Frequently,1496,Support,7,1,Marketing,1,112,1,Female,147,3,1,Laboratory Technician,1,Married,6522,71742,3,Y,Yes,33,2,1,80,1,38,1,4,37,9,9,15
35,Yes,Non-Travel,194,Human Resources,34,5,Human Resources,1,113,4,Female,156,3,5,Research Scientist,1,Married,10342,113762,2,Y,No,19,1,4,80,3,6,2,3,5,2,5,4
28,Yes,Travel_Frequently,1478,Research & Development,32,4,Other,1,114,3,Male,60,2,2,Developer,4,Divorced,50431,907758,4,Y,No,7,4,1,80,1,10,1,4,5,1,4,1
57,Yes,Non-Travel,962,Sales,4,2,Other,1,115,1,Female,153,2,3,Developer,2,Divorced,9224,202928,1,Y,Yes,28,2,1,80,3,28,3,2,16,4,15,2
30,No,Non-Travel,314,Research & Development,45,3,Marketing,1,116,3,Female,119,4,4,Manager,3,Divorced,39473,1026298,3,Y,Yes,29,1,1,80,3,10,4,4,4,1,1,1
27,No,Travel_Frequently,1314,Software,18,5,Medical,1,117,1,Male,137,4,5,Healthcare Representative,2,Single,43465,478115,1,Y,Yes,28,1,2,80,3,19,1,1,2,2,1,1
58,Yes,Travel_Rarely,1269,Sales,8,3,Marketing,1,118,1,Male,54,2,1,Manager,1,Divorced,48277,1351756,6,Y,Yes,17,1,3,80,3,29,4,2,22,18,20,1
51,No,Non-Travel,1439,Support,48,4,Marketing,1,119,4,Male,43,3,3,Research Director,4,Married,9301,204622,0,Y,Yes,8,4,3,80,4,37,4,4,20,16,16,16
32,No,Non-Travel,1344,Hardware,5,1,Marketing,1,120,2,Male,115,1,2,Developer,2,Married,12035,96280,5,Y,Yes,9,1,2,80,2,35,4,1,31,11,25,17
50,No,Travel_Rarely,1351,Human Resources,18,2,Life Sciences,1,121,3,Female,163,2,3,Developer,4,Married,44106,485166,6,Y,No,48,4,3,80,2,22,1,2,14,9,11,10
41,Yes,Travel_Frequently,1155,Human Resources,10,2,Human Resources,1,122,2,Female,49,3,5,Manager,1,Divorced,48447,339129,5,Y,Yes,35,3,2,80,1,15,6,3,13,7,7,7
51,No,Non-Travel,1476,Research & Development,36,2,Human Resources,1,123,1,Male,156,3,3,Laboratory Technician,2,Single,20120,523120,0,Y,No,18,1,1,80,1,19,1,3,3,2,2,2
44,No,Travel_Rarely,332,Hardware,14,4,Medical,1,124,2,Female,158,4,5,Manufacturing Director,2,Single,15025,45075,7,Y,No,17,4,3,80,4,14,3,4,12,1,5,10
19,No,Travel_Rarely,1292,Hardware,17,3,Medical,1,125,3,Male,67,1,3,Developer,3,Married,18059,397298,8,Y,No,35,2,2,80,2,15,3,1,10,10,6,3
56,Yes,Non-Travel,799,Human Resources,24,5,Medical,1,126,4,Female,61,3,5,Research Scientist,2,Divorced,31430,157150,7,Y,Yes,19,2,4,80,3,23,1,3,23,23,10,17
29,Yes,Non-Travel,722,Software,23,2,Human Resources,1,127,4,Male,141,4,1,Manager,1,Divorced,4042,68714,3,Y,No,47,4,1,80,1,3,1,2,3,3,2,3
23,No,Travel_Rarely,1440,Sales,3,3,Other,1,128,2,Female,62,2,4,Developer,4,Divorced,9036,171684,4,Y,Yes,48,2,4,80,2,6,3,4,3,3,2,3
27,No,Travel_Rarely,889,Research & Development,7,4,Human Resources,1,129,1,Female,31,1,4,Human Resources,1,Single,45778,457780,2,Y,Yes,44,3,3,80,2,21,5,3,2,1,2,2
41,Yes,Travel_Rarely,211,Sales,46,4,Marketing,1,130,3,Female,119,4,1,Sales Representative,2,Divorced,42414,551382,8,Y,No,14,4,1,80,4,14,6,3,2,1,2,1
45,Yes,Travel_Frequently,1221,Support,35,4,Other,1,131,1,Female,88,4,5,Human Resources,1,Divorced,16447,361834,8,Y,No,19,2,1,80,3,8,1,1,3,3,2,1
32,No,Non-Travel,503,Software,27,2,Medical,1,132,4,Male,30,3,3,Sales Representative,3,Divorced,29906,598120,1,Y,No,43,1,2,80,1,12,6,2,7,3,7,7
59,No,Travel_Rarely,1448,Research & Development,25,3,Life Sciences,1,133,1,Male,101,4,2,Manager,4,Single,47218,849924,0,Y,No,28,3,3,80,3,3,4,4,3,3,3,3
18,No,Travel_Frequently,699,Support,41,1,Marketing,1,134,1,Male,40,3,5,Sales Representative,3,Single,3002,18012,2,Y,No,10,2,1,80,3,38,5,4,14,3,1,11
28,No,Travel_Frequently,556,Sales,14,2,Life Sciences,1,135,1,Male,154,4,5,Research Director,1,Married,1828,47528,4,Y,No,24,4,1,80,1,23,3,2,16,15,12,15
39,No,Travel_Frequently,855,Software,2,4,Human Resources,1,136,3,Male,92,3,2,Healthcare Representative,4,Single,6683,80196,6,Y,No,43,4,1,80,3,6,1,1,5,5,3,4
58,No,Travel_Frequently,547,Sales,12,4,Medical,1,137,2,Female,86,4,1,Sales Executive,3,Married,9181,18362,7,Y,No,5,2,4,80,3,22,2,1,17,3,4,2
27,No,Non-Travel,547,Hardware,1,4,Human Resources,1,138,2,Male,79,1,4,Developer,3,Married,35432,566912,1,Y,No,44,1,3,80,4,40,3,4,40,19,7,25
43,No,Travel_Frequently,762,Hardware,32,2,Technical Degree,1,139,1,Female,58,2,1,Research Director,1,Married,2381,45239,5,Y,Yes,19,1,4,80,4,29,5,2,20,9,18,18
29,No,Travel_Frequently,1486,Human Resources,47,2,Marketing,1,140,3,Male,103,1,4,Research Scientist,1,Divorced,42098,757764,7,Y,No,6,4,4,80,2,26,5,2,24,1,13,23
45,No,Travel_Rarely,1125,Support,30,1,Technical Degree,1,141,4,Male,191,3,4,Laboratory Technician,4,Divorced,25158,603792,2,Y,Yes,37,2,1,80,3,13,1,4,10,2,3,8
34,Yes,Travel_Rarely,867,Research & Development,28,4,Human Resources,1,142,4,Male,98,4,1,Human Resources,4,Divorced,49297,443673,6,Y,Yes,32,3,1,80,3,24,5,2,8,7,8,6
